lon,lat,Place,n
4.88969,52.37403,Amsterdam,4
-84.38798,33749,Atlanta,1
10.89851,48.37154,Augsburg,1
2.15899,41.38879,Barcelona,1
13.41053,52.52437,Berlin,8
4.34878,50.85045,Brussels,1
0.11667,52.2,Cambridge,7
-88.24338,40.11642,Champaign,1
-72.90066,41.49899,Cheshire,1
-104.9847,39.73915,Denver,1
4.67361,51.81,Dordrecht,1
-3.19648,55.95206,Edinburgh,1
8.68417,50.11552,Frankfurt am Main,2
11.96679,57.70716,Gothenburg,1
10.01534,53.57532,Hamburg,1
8.69079,49.40768,Heidelberg,2
-84.59293,41.88777,Hillsdale,1
-74.03236,40.74399,Hoboken,1
114.17469,22.27832,Hong Kong,1
-86.15804,39.76838,Indianapolis,1
19.93658,50.06143,Kraków,2
6.63282,46516,Lausanne,3
12.37129,51.33962,Leipzig,4
-96.66696,40.8,Lincoln,1
-0.12574,51.50853,London,9
4.70093,50.87959,Louvain,2
4.84671,45.74846,Lyon,1
144.96332,-37814,Melbourne,1
-122.18219,37.45383,Menlo Park,1
-74.07764,40.72816,New Jersey,1
-74.00597,40.71427,New York,8
-1.25596,51.75222,Oxford,6
2.3488,48.85341,Paris,3
-75.16379,39.95233,Philadelphia,1
28.18783,-25.74486,Pretoria,1
-1.67429,48.11198,Rennes,1
-77.61556,43.15478,Rochester,1
12.51133,41.89193,Rome,1
-75.18129,40.99954,Stroudsburg,4
9.17702,48.78232,Stuttgart,1
151.20732,-33.86785,Sydney,2
9.05222,48.52266,Tübingen,1
12.33265,45.43713,Venice,1
-77.03637,38.89511,Washington  D.C.,1
17.03333,51.1,Wrocław,1
9.95121,49.79391,Würzburg,1
6.20139,52.13833,Zutphen,1
