"","Key","Item.Type","Publication.Year","Author","Title","Publication.Title","ISBN","ISSN","DOI","Url","Abstract.Note","Date","Date.Added","Date.Modified","Access.Date","Pages","Num.Pages","Issue","Volume","Number.Of.Volumes","Journal.Abbreviation","Short.Title","Series","Series.Number","Series.Text","Series.Title","Publisher","Place","Language","Rights","Type","Archive","Archive.Location","Library.Catalog","Call.Number","Extra","Notes","File.Attachments","Link.Attachments","Manual.Tags","Automatic.Tags","Editor","Series.Editor","Translator","Contributor","Attorney.Agent","Book.Author","Cast.Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed.Author","Scriptwriter","Words.By","Guest","Number","Edition","Running.Time","Scale","Medium","Artwork.Size","Filing.Date","Application.Number","Assignee","Issuing.Authority","Country","Meeting.Name","Conference.Name","Court","References","Reporter","Legal.Status","Priority.Numbers","Programming.Language","Version","System","Code","Code.Number","Section","Session","Committee","History","Legislative.Body"
"1","QAPKVQC8","bookSection","1998","Oakes, Michael P.","Literary Detective Work","Statistics for corpus linguistics","0-7486-1032-4",,,,,"1998","2017-01-03 10:21:26","2017-04-20 12:49:41",,"199-248",,,,,,,,,,,"Edinburgh Univ. Press","Edinburgh","eng",,,,,"Library of Congress ISBN","P98.5.S83 O18 1998","bibtex: oakes_statistics_1998",,,,"recommended; Distinctiveness",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3","RHKUQKNS","bookSection","2015","Hakemulder, Frank; Van Peer, Willie","Empirical Stylistics","Bloomsbury Companion to Stylistics",,,,,,"2015","2017-01-03 10:47:39","2017-04-11 15:01:45",,,,,,,,,,,,,"Continuum","London","en",,,,,,,"bibtex: hakemulder_empirical_????",,,,"style",,"Sotirova, Violeta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7","4ZFD9CMN","encyclopediaArticle","2007","Pieper, Ursula","Statistische Literaturanalyse","Reallexikon der deutschen Literaturwissenschaft",,,,,,"2007","2017-01-03 10:31:23","2017-01-04 11:05:30",,"500-503",,,"3",,,,,,,,"de Gruyter","Berlin","de",,,,,,,"bibtex: pieper_statistische_2007",,,,"style",,"Braungart, Georg; Fricke, Harald; Grubmüller, Klaus; Müller, Jan-Dirk; Vollhardt, Friedrich; Weimar, Klaus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11","P7XU8IQK","bookSection","2008","Hoover, David L.","Quantitative Analysis and Literary Studies","A Companion to Digital Literary Studies","1-4051-0321-3",,,"http://www.digitalhumanities.org/companion/view?docId=blackwell/9781405148641/9781405148641.xml&chunk.id=ss1-6-9&toc.depth=1&toc.id=ss1-6-9&brand=9781405148641_brand",,"2008","2017-01-03 10:32:18","2017-01-04 09:52:24",,"517-533",,,,,,,,,,,"Blackwell","Oxford","en",,,,,,,"bibtex: hoover_quantitative_2008",,,,"recommended",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12","PF4JBT3I","conferencePaper","2008","Greenstadt, Rachel; Beal, Jacob","Cognitive security for personal devices","Proceedings of the 1st ACM workshop on Workshop on AISec","978-1-60558-291-7",,"http://doi.acm.org.ezproxy2.library.drexel.edu/10.1145/1456377.1456383","http://doi.acm.org.ezproxy2.library.drexel.edu/10.1145/1456377.1456383",,"2008","2016-08-16 16:43:38","2016-08-16 16:43:38",,"27–30",,,,,,,"AISec '08",,,,"ACM","New York",,,,,,,,"bibtex: greenstadt_cognitive_2008",,,,"artificial intelligence; authentication; biometrics; security automation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13","PBD77AAW","conferencePaper","2011","Shi, Elaine; Niu, Yuan; Jakobsson, Markus; Chow, Richard","Implicit authentication through learning user behavior","Proceedings of the 13th international conference on Information security","978-3-642-18177-1",,,"http://dl.acm.org/citation.cfm?id=1949317.1949329",,"2011","2016-08-16 16:43:38","2016-08-16 16:43:38",,"99–113",,,,,,,"ISC'10",,,,"Springer-Verlag","Berlin",,,,,,,,"bibtex: shi_implicit_2011",,,,"usability;  behavior modelling; implicit authentication; security",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14","368WVWTA","book","2002","Love, Harold","Attributing Authorship : An Introduction",,,,,,,"2002","2016-08-16 16:43:38","2016-08-16 16:43:38",,,,,,,,,,,,,"Cambridge University Press","Cambridge",,,,,,,,"bibtex: love_attributing_2002",,,,"recommended",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15","FV7NBTJ4","bookSection","2010","Scott, Mike","Problems in investigating keyness, or clearing the undergrowth and marking out trails...","Keyness in Texts",,,,,,"2010","2016-09-12 15:55:10","2016-09-12 15:55:10",,"43",,,,,,,,,,,"John Benjamins","Amsterdam","en",,,,,,,"bibtex: scott_problems_2010",,,,"Keyness",,"Bondi, Marina; Scott, Mike",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"16","8PZZRM4C","conferencePaper","2015","Jannidis, Fotis; Pielström, Steffen; Schöch, Christof; Vitt, Thorsten","Improving Burrows’ Delta – An empirical evaluation of text distance measures","Digital Humanities 2015 Conference Abstracts",,,,"http://dh2015.org/abstracts/xml/JANNIDIS_Fotis_Improving_Burrows__Delta___An_empi/JANNIDIS_Fotis_Improving_Burrows__Delta___An_empirical_.html",,"2015","2016-11-17 14:47:46","2016-11-17 14:47:46",,,,,,,,,,,,,"ADHO","Sydney","eng",,,,,,,"How to implement it in stylo, explanation by Eder: https://groups.google.com/forum/#!topic/computationalstylistics/5WAWwVy9o5U  bibtex: jannidis_improving_2015",,,,"Stylometry; cligs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Digital Humanities 2015",,,,,,,,,,,,,,,
"17","KDNCAVG3","bookSection","2004","Craig, Hugh","Stylistic Analysis and Authorship Studies","A Companion to Digital Humanities",,,,,,"2004","2016-11-17 14:47:33","2016-11-17 14:47:33",,"273-288",,,,,,,,,,,"Blackwell","Oxford","eng",,,,,,,"bibtex: craig_stylistic_2004",,,,"recommended",,"Schreibman, Susan; Siemens, Ray; Unsworth, John",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
